video_id,video_url,title,upload_datetime,view_count,like_count,comment_count,tags,guest_type,topic_category,format_type,View_Count_Log,Estimated_Income_INR,duration,Title_Length,Description_Length,upload_hour,upload_dow,Days_Since_Published,guest_type_Diplomat,guest_type_Military_Veteran,guest_type_Other,guest_type_Politician,topic_category_Defense_Analysis,topic_category_Foreign_Policy,topic_category_General,topic_category_Geopolitics,topic_category_Internal_Affairs,format_type_Interview,format_type_Monologue_Explainer,format_type_Panel_Discussion
0jTn2Bj5Bwc,https://www.youtube.com/watch?v=0jTn2Bj5Bwc,Pak Army Does Not Have Food To Eat | The Chanakya Dialogues With Major Gaurav Arya,27-02-2023,1429915,65874,4000,"[""Chanakya Dialogues"", ""Gaurav Arya"", ""Chanakya Forum"", ""Major Gaurav Arya"", ""India Foreign Affairs"", ""India News"", ""India Pakistan News"", ""Indo-Pak"", ""Major Gaurav Arya Channel"", ""CFTV Channel"", ""foreign affairs"", ""news"", ""latest news"", ""geopolitics"", ""The Chanakya Dialogues"", ""India"", ""Bharat"", ""News"", ""Indian Army"", ""the chanakya dialogues"", ""india foreign affairs"", ""india pakistan news""]",Military_Veteran,General,Interview,14.17312626,171589.8,1725,82,1858,0,0,902,0,1,0,0,0,0,1,0,0,1,0,0
NEA8WjKMsJ4,https://www.youtube.com/watch?v=NEA8WjKMsJ4,"Gen. Bipin Rawat’s House, Epitome of Simplicity | The Chanakya Dialogues With Major Gaurav Arya",27-02-2023,1171632,53994,3500,"[""Chanakya Dialogues"", ""Gaurav Arya"", ""Chanakya Forum"", ""Major Gaurav Arya"", ""India Foreign Affairs"", ""India News"", ""India Pakistan News"", ""Indo-Pak"", ""Major Gaurav Arya Channel"", ""CFTV Channel"", ""foreign affairs"", ""news"", ""latest news"", ""geopolitics"", ""The Chanakya Dialogues"", ""India"", ""Bharat"", ""News"", ""Indian Army"", ""the chanakya dialogues"", ""india foreign affairs"", ""india pakistan news""]",Military_Veteran,General,Interview,13.97390906,140595.84,880,95,792,0,0,902,0,1,0,0,0,0,1,0,0,1,0,0
KguxHbYi4mQ,https://www.youtube.com/watch?v=KguxHbYi4mQ,"Pakistan In Deep Trouble, Stops Giving Salaries | The Chanakya Dialogues With Major Gaurav Arya",26-02-2023,688222,49291,4400,"[""Chanakya Dialogues"", ""Gaurav Arya"", ""Chanakya Forum"", ""Major Gaurav Arya"", ""India Foreign Affairs"", ""India News"", ""India Pakistan News"", ""Indo-Pak"", ""Major Gaurav Arya Channel"", ""CFTV Channel"", ""foreign affairs"", ""news"", ""latest news"", ""geopolitics"", ""The Chanakya Dialogues"", ""India"", ""Bharat"", ""News"", ""Indian Army"", ""india pakistan news"", ""the chanakya dialogues"", ""major gaurav arya""]",Military_Veteran,Geopolitics,Interview,13.44186819,82586.64,1606,95,2196,0,6,903,0,1,0,0,0,0,0,1,0,1,0,0
TYclMv09u6Y,https://www.youtube.com/watch?v=TYclMv09u6Y,BEST OF THE WEEK | SUNDAY SPECIAL: THE CHANAKYA DIALOGUES with Major Gaurav Arya,26-02-2023,227587,11095,474,"[""Chanakya Dialogues"", ""Gaurav Arya"", ""Chanakya Forum"", ""Major Gaurav Arya"", ""India Foreign Affairs"", ""India News"", ""India Pakistan News"", ""Indo-Pak"", ""Major Gaurav Arya Channel"", ""CFTV Channel"", ""foreign affairs"", ""news"", ""latest news"", ""geopolitics"", ""The Chanakya Dialogues"", ""India"", ""Bharat"", ""News"", ""Indian Army"", ""the chanakya dialogues"", ""india pakistan news"", ""major gaurav arya""]",Military_Veteran,Foreign_Policy,Interview,12.33529226,27310.44,2052,80,4953,0,6,903,0,1,0,0,0,1,0,0,0,1,0,0
t_wd0Xf03v0,https://www.youtube.com/watch?v=t_wd0Xf03v0,Pakistan Is Medusa’s Head And Khalistan’s Mother | The Chanakya Dialogues With Major Gaurav Arya,25-02-2023,758939,53684,5200,"[""Chanakya Dialogues"", ""Gaurav Arya"", ""Chanakya Forum"", ""Major Gaurav Arya"", ""India Foreign Affairs"", ""India News"", ""India Pakistan News"", ""Indo-Pak"", ""Major Gaurav Arya Channel"", ""CFTV Channel"", ""foreign affairs"", ""news"", ""latest news"", ""geopolitics"", ""The Chanakya Dialogues"", ""India"", ""Bharat"", ""News"", ""Indian Army"", ""the chanakya dialogues"", ""major gaurav arya"", ""india pakistan news""]",Military_Veteran,Geopolitics,Interview,13.539678,91072.68,1976,96,2475,0,5,904,0,1,0,0,0,0,0,1,0,1,0,0
L5NYecrpU9g,https://www.youtube.com/watch?v=L5NYecrpU9g,India Gives Hope For The Future: Bill Gates | The Chanakya Dialogues With Major Gaurav Arya,24-02-2023,510401,35325,2200,"[""Chanakya Dialogues"", ""Gaurav Arya"", ""Chanakya Forum"", ""Major Gaurav Arya"", ""India Foreign Affairs"", ""India News"", ""India Pakistan News"", ""Indo-Pak"", ""Major Gaurav Arya Channel"", ""CFTV Channel"", ""foreign affairs"", ""news"", ""latest news"", ""geopolitics"", ""The Chanakya Dialogues"", ""India"", ""Bharat"", ""News"", ""Indian Army""]",Military_Veteran,General,Interview,13.14295393,61248.12,1818,91,788,0,4,905,0,1,0,0,0,0,1,0,0,1,0,0
3U29pWF-Ad0,https://www.youtube.com/watch?v=3U29pWF-Ad0,India Will Not Help Pakistan - Dr. S Jaishankar | The Chanakya Dialogues With Major Gaurav Arya,23-02-2023,994822,57560,3800,"[""Chanakya Dialogues"", ""Gaurav Arya"", ""Chanakya Forum"", ""Major Gaurav Arya"", ""India Foreign Affairs"", ""India News"", ""India Pakistan News"", ""Indo-Pak"", ""Major Gaurav Arya Channel"", ""CFTV Channel"", ""foreign affairs"", ""news"", ""latest news"", ""geopolitics"", ""The Chanakya Dialogues"", ""India"", ""Bharat"", ""News"", ""Indian Army"", ""the chanakya dialogues"", ""india pakistan news"", ""major gaurav arya""]",Diplomat,Geopolitics,Interview,13.81032011,119378.64,2224,95,792,0,3,906,1,0,0,0,0,0,0,1,0,1,0,0
cNobFKOgwfo,https://www.youtube.com/watch?v=cNobFKOgwfo,Pakistan Begs Money From Private Banker Rothschild | The Chanakya Dialogues With Major Gaurav Arya,22-02-2023,701719,50290,3900,"[""Chanakya Dialogues"", ""Gaurav Arya"", ""Chanakya Forum"", ""Major Gaurav Arya"", ""India Foreign Affairs"", ""India News"", ""India Pakistan News"", ""Indo-Pak"", ""Major Gaurav Arya Channel"", ""CFTV Channel"", ""foreign affairs"", ""news"", ""latest news"", ""geopolitics"", ""The Chanakya Dialogues"", ""India"", ""Bharat"", ""News"", ""Indian Army"", ""the chanakya dialogues"", ""india pakistan news"", ""major gaurav arya""]",Military_Veteran,Geopolitics,Interview,13.46128974,84206.28,1840,98,952,0,2,907,0,1,0,0,0,0,0,1,0,1,0,0
pZ7PSNukeRE,https://www.youtube.com/watch?v=pZ7PSNukeRE,"Joe Biden Secret Ukraine Visit, Taliban Insults Pak | The Chanakya Dialogues With Major Gaurav Arya",21-02-2023,517845,40727,1900,"[""Chanakya Dialogues"", ""Gaurav Arya"", ""Chanakya Forum"", ""Major Gaurav Arya"", ""India Foreign Affairs"", ""India News"", ""India Pakistan News"", ""Indo-Pak"", ""Major Gaurav Arya Channel"", ""CFTV Channel"", ""foreign affairs"", ""news"", ""latest news"", ""geopolitics"", ""The Chanakya Dialogues"", ""India"", ""Bharat"", ""News"", ""Indian Army"", ""the chanakya dialogues"", ""india pakistan news"", ""india foreign affairs""]",Diplomat,General,Interview,13.15743318,62141.4,1614,99,1910,0,1,908,1,0,0,0,0,0,1,0,0,1,0,0
u7MX8Dgp3f0,https://www.youtube.com/watch?v=u7MX8Dgp3f0,Imran Khan Is A Coward Says Mariyam Nawaz | The Chanakya Dialogues With Major Gaurav Arya,20-02-2023,536624,43076,2100,"[""Chanakya Dialogues"", ""Gaurav Arya"", ""Chanakya Forum"", ""Major Gaurav Arya"", ""India Foreign Affairs"", ""India News"", ""India Pakistan News"", ""Indo-Pak"", ""Major Gaurav Arya Channel"", ""CFTV Channel"", ""foreign affairs"", ""news"", ""latest news"", ""geopolitics"", ""The Chanakya Dialogues"", ""India"", ""Bharat"", ""News"", ""Indian Army"", ""the chanakya dialogues"", ""india foreign affairs"", ""major gaurav arya""]",Military_Veteran,General,Interview,13.19305481,64394.88,1830,89,3525,0,0,909,0,1,0,0,0,0,1,0,0,1,0,0
